,Country Code,country Desc
1,ALBA,Albany
2,ALLEN,Allegany
3,BRON,Bronx
4,BROO,Brooom
5,CATT,Cattaraugua
6,CAYU,Cayuga
7,CHAU,Chautaugua
8,CHEM,Chemung
9,CHEN,Chenango
10,CLIN,Clinton
11,COLU,Columbia
12,CORT,Cortland
13,DELA,Delaware
14,DUTC,Dutchess
15,ERIE,Erie
16,ESSE,Essex
17,FRAN,Franklin
18,FULT,Fulton
19,GENE,Genesee
20,GREE,Greene
21,HAMI,Hamilton
22,HERK,Herkimer
23,JEFF,Jefferson
24,KING,Kings
25,LEWI,Lewis
26,LIVI,Livingston
27,MADI,madison
28,MONR,Monroe
29,MONT,Montgomery
30,NASS,Nassau
31,NEWY,New York
32,NIAG,Niagara
33,ONEI,Oneida
34,ONON,Onondaga
35,ONTA,Ontario
36,ORAN,Orange
37,ORLE,Orleans
38,OSWE,Oswego
39,OTSE,Otsego
40,PUTN,Putnam
41,QUEE,Queens
42,RENS,Rensselaer
43,RICH,Richmond
44,ROCK,Rockland
45,SARA,Saratoga
46,SCHE,Schenectady
47,SCHO,Schoharie
48,SCHU,Schuyler
49,SENE,Seneca
50,STLA,St. Lawrence
51,STEU,Steuben
52,SUFF,Suffolk
53,SULL,Sullivan
54,TIOG,Tioga
55,Tioga,Tompkins
56,ULST,Ulster
57,WARR,Warren
58,WASH,Washington
59,WAYN,Wayne
60,WEST,Westchester
61,WYOM,Wyoming
62,YATE,Yates
